Domain, V1, V2, V3, V34, V4, V5, Ishort, BRK_STAT, Ibrk
0.0,172.887608,172.875262227,0.0471954546617,0.0,0.0471954546617,0.0470442066681,3.02495987279e-06,0.0,0.00404784412751
1.0e-05,230.51517259,230.485548879,0.161731299535,0.0,0.161731299535,0.161059791546,1.34301597835e-05,0.0,0.00971291237694
2.0e-05,230.510258382,230.460902915,0.377081512814,0.0,0.377081512814,0.375069681143,4.02366334179e-05,0.0,0.0161827800097
3.0e-05,230.502068113,230.43300619,0.699528189303,0.0,0.699528189303,0.69484157948,9.37321964491e-05,0.0,0.0226447899988
4.0e-05,230.490601899,230.40186825,1.12838359649,0.0,1.12838359649,1.11916197778,0.000184432374312,0.0,0.0290960234348
5.0e-05,230.475859904,230.367498615,1.66273736721,0.0,1.66273736721,1.6466013402,0.000322720540211,0.0,0.0355335819654
6.0e-05,230.457842337,230.329906768,2.30145927206,0.0,2.30145927206,2.27551794683,0.000518826504562,0.0,0.0419545936615
7.0e-05,230.436549454,230.289102126,3.04320244249,0.0,3.04320244249,3.00406216697,0.000782805510253,0.0,0.0483562188046
8.0e-05,230.411981557,230.245094033,3.88640703585,0.0,3.88640703585,3.83018115204,0.0011245176762,0.0,0.0547356555851
9.0e-05,230.384138996,230.197891732,4.82930433315,0.0,4.82930433315,4.75162393662,0.00155360793064,0.0,0.0610901456978
0.0001,230.353022166,230.147504352,5.86992125914,0.0,5.86992125914,5.76594693543,0.00207948647424,0.0,0.0674169798261
0.00011,230.31863151,230.093940891,7.00608531364,0.0,7.00608531364,6.87051982303,0.00271130981216,0.0,0.0737135030003
0.00012,230.280967517,230.037210199,8.23542990213,0.0,8.23542990213,8.06253178251,0.00345796239244,0.0,0.079977119823
0.00013,230.240030721,229.977320959,9.55540005289,0.0,9.55540005289,9.33899810854,0.00432803888699,0.0,0.0862052995483
0.00014,230.195821704,229.914281674,10.9632585072,0.0,10.9632585072,10.6967671497,0.0053298271499,0.0,0.0923955810056
0.00015,230.148341096,229.84810065,12.4560921683,0.0,12.4560921683,12.132527574,0.00647129188609,0.0,0.0985455773593
0.00016,230.09758957,229.778785982,14.0308188941,0.0,14.0308188941,13.6428159411,0.00776005906184,0.0,0.104652980693
0.00017,230.043567848,229.706345541,15.6841946188,0.0,15.6841946188,15.2240245644,0.00920340108711,0.0,0.110715566413
0.00018,229.986276698,229.630786957,17.4128207853,0.0,17.4128207853,16.8724096454,0.0108082227976,0.0,0.116731197454
0.00019,229.925716934,229.55211761,19.2131520744,0.0,19.2131520744,18.5840996612,0.0125810482629,0.0,0.122697828294
0.0002,229.861889416,229.470344615,21.0815044105,0.0,21.0815044105,20.3551039882,0.0145280084454,0.0,0.128613508752
0.00021,229.794795052,229.385474812,23.0140632285,0.0,23.0140632285,22.1813217419,0.0166548297319,0.0,0.13447638758
0.00022,229.724434796,229.297514754,25.0068919811,0.0,25.0068919811,24.0585508131,0.0189668233597,0.0,0.140284715827
0.00023,229.650809646,229.206470698,27.0559408702,0.0,27.0559408702,25.9824970825,0.0214688757544,0.0,0.146036849978
0.00024,229.573920651,229.112348595,29.1570557809,0.0,29.1570557809,27.948783791,0.0241654397981,0.0,0.151731254859
0.00025,229.493768901,229.015154084,31.3059874003,0.0,31.3059874003,29.9529610483,0.0270605270401,0.0,0.157366506306
0.00026,229.410355538,228.914892477,33.4984005002,0.0,33.4984005002,31.9905154569,0.0301577008653,0.0,0.162941293586
0.00027,229.323681745,228.811568763,35.7298833641,0.0,35.7298833641,34.0568798326,0.0334600706298,0.0,0.168454421578
0.00028,229.233748756,228.705187591,37.995957338,0.0,37.995957338,36.1474429994,0.0369702867714,0.0,0.173904812695
0.00029,229.140557847,228.595753273,40.2920864845,0.0,40.2920864845,38.2575596393,0.0406905369034,0.0,0.179291508557
0.0003,229.044110344,228.483269773,42.6136873192,0.0,42.6136873192,40.3825601745,0.0446225428941,0.0,0.184613671408
0.00031,228.944407617,228.367740709,44.9561386096,0.0,44.9561386096,42.5177606629,0.0487675589359,0.0,0.189870585272
0.00032,228.841451083,228.249169348,47.3147912145,0.0,47.3147912145,44.6584726843,0.0531263706033,0.0,0.195061656848
0.00033,228.735242205,228.127558601,49.6849779436,0.0,49.6849779436,46.8000131988,0.0576992948974,0.0,0.200186416152
0.00034,228.625782494,228.002911026,52.0620234175,0.0,52.0620234175,48.9377143538,0.0624861812751,0.0,0.205244516888
0.00035,228.513073504,227.875228828,54.4412539052,0.0,54.4412539052,51.0669332225,0.0674864136539,0.0,0.210235736564
0.00036,228.397116837,227.744513855,56.8180071208,0.0,56.8180071208,53.1830614514,0.0726989133876,0.0,0.215159976349
0.00037,228.277914142,227.610767604,59.1876419577,0.0,59.1876419577,55.2815347977,0.0781221432,0.0,0.220017260665
0.00038,228.155467113,227.473991222,61.5455481404,0.0,61.5455481404,57.3578425371,0.0837541120668,0.0,0.22480773653
0.00039,228.029777489,227.334185506,63.8871557744,0.0,63.8871557744,59.4075367229,0.0895923810298,0.0,0.229531672642
0.0004,227.900847057,227.191350913,66.2079447735,0.0,66.2079447735,61.426241277,0.0956340699298,0.0,0.23418945821
0.00041,227.76867765,227.045487559,68.5034541467,0.0,68.5034541467,63.4096608948,0.101875865038,0.0,0.238781601542
0.00042,227.633271146,226.896595226,70.7692911244,0.0,70.7692911244,65.3535897459,0.10831402757,0.0,0.243308728387
0.00043,227.494629469,226.74467337,73.001140106,0.0,73.001140106,67.2539199532,0.114944403055,0.0,0.247771580033
0.00044,227.35275459,226.589721127,75.194771411,0.0,75.194771411,69.1066498338,0.121762431545,0.0,0.252171011174
0.00045,227.207648525,226.431737321,77.3460498156,0.0,77.3460498156,70.9078918841,0.128763158631,0.0,0.256507987551
0.00046,227.059313336,226.270720469,79.4509428576,0.0,79.4509428576,72.6538804951,0.13594124725,0.0,0.260783583361
0.00047,226.907751132,226.106668797,81.5055288936,0.0,81.5055288936,74.3409793814,0.143290990243,0.0,0.264998978457
0.00048,226.752964067,225.939580244,83.5060048928,0.0,83.5060048928,75.9656887104,0.150806323648,0.0,0.269155455332
0.00049,226.59495434,225.769452474,85.4486939503,0.0,85.4486939503,77.5246519163,0.158480840679,0.0,0.2732543959
0.0005,226.433724197,225.596282889,87.330052508,0.0,87.330052508,79.0146621887,0.166307806385,0.0,0.277297278085
0.00051,226.269275929,225.420068638,89.1466772663,0.0,89.1466772663,80.43266862,0.174280172925,0.0,0.281285672222
0.00052,226.101611875,225.240806631,90.8953117755,0.0,90.8953117755,81.7757820027,0.182390595456,0.0,0.285221237269
0.00053,225.930734416,225.058493552,92.5728526931,0.0,92.5728526931,83.0412802646,0.190631448569,0.0,0.289105716862
0.00054,225.756645981,224.873125871,94.176355695,0.0,94.176355695,84.226613532,0.198994843259,0.0,0.292940935197
0.00055,225.579349045,224.684699859,95.703041031,0.0,95.703041031,85.3294088122,0.207472644377,0.0,0.296728792765
0.00056,225.398846126,224.493211602,97.1502987127,0.0,97.1502987127,86.3474742861,0.216056488531,0.0,0.300471261944
0.00057,225.215139791,224.298657015,98.5156933249,0.0,98.5156933249,87.2788032046,0.224737802406,0.0,0.304170382452
0.00058,225.028232651,224.101031859,99.7969684523,0.0,99.7969684523,88.1215773805,0.233507821435,0.0,0.307828256681
0.00059,224.838127361,223.900331755,100.992050714,0.0,100.992050714,88.8741702726,0.242357608818,0.0,0.31144704492
0.0006,224.644826624,223.696552198,102.099053395,0.0,102.099053395,89.5351496542,0.251278074814,0.0,0.315028960473
0.00061,224.448333186,223.489688579,103.116279679,0.0,103.116279679,90.1032798641,0.26025999629,0.0,0.31857626468
0.00062,224.248649841,223.279736194,104.04222546,0.0,104.04222546,90.577523637,0.269294036465,0.0,0.322091261868
0.00063,224.045779426,223.066690267,104.87558175,0.0,104.87558175,90.9570435091,0.278370764823,0.0,0.325576294219
0.00064,223.839724825,222.850545962,105.615236657,0.0,105.615236657,91.2412028004,0.287480677138,0.0,0.329033736592
0.00065,223.630488966,222.631298403,106.26027695,0.0,106.26027695,91.4295661709,0.296614215587,0.0,0.332465991284
0.00066,223.418074822,222.408942689,106.809989197,0.0,106.809989197,91.5218997526,0.305761788883,0.0,0.335875482766
0.00067,223.202485414,222.183473913,107.263860479,0.0,107.263860479,91.5181708582,0.314913792413,0.0,0.339264652383
0.00068,222.983723803,221.954887178,107.621578685,0.0,107.621578685,91.4185472687,0.32406062832,0.0,0.342635953045
0.00069,222.761793101,221.723177613,107.883032378,0.0,107.883032378,91.2233961032,0.333192725488,0.0,0.345991843918
0.0007,222.53669646,221.488340394,108.048310245,0.0,108.048310245,90.933282275,0.342300559407,0.0,0.349334785112
0.00071,222.30843708,221.250370755,108.117700131,0.0,108.117700131,90.5489665385,0.351374671848,0.0,0.352667232399
0.00072,222.077018206,221.009264013,108.091687649,0.0,108.091687649,90.0714031324,0.360405690331,0.0,0.355991631957
0.00073,221.842443125,220.765015576,107.970954394,0.0,107.970954394,89.5017370274,0.369384347339,0.0,0.359310415152
0.00074,221.604715172,220.517620967,107.756375744,0.0,107.756375744,88.8413007825,0.37830149923,0.0,0.362625993376
