Domain, V1, V2, V3, V34, V4, Ishort, BRK_STAT, Ibrk
0.0,172.887608,172.875310843,0.886474302442,0.0,0.886474302442,0.0,0.0,0.00294338510203
1.0e-05,230.51517259,230.485729172,2.39516988032,0.0,2.39516988032,0.0,0.0,0.00795274868448
2.0e-05,230.510258382,230.461347656,4.31470400705,0.0,4.31470400705,0.0,0.0,0.014326230844
3.0e-05,230.502068113,230.433858244,6.26716585004,0.0,6.26716585004,0.0,0.0,0.0208090438089
4.0e-05,230.490601899,230.403261476,8.19035752264,0.0,8.19035752264,0.0,0.0,0.0271946702189
5.0e-05,230.475859904,230.369555938,10.0997868097,0.0,10.0997868097,0.0,0.0,0.0335346010003
6.0e-05,230.457842337,230.332740768,11.9917711518,0.0,11.9917711518,0.0,0.0,0.0398166088492
7.0e-05,230.436549454,230.292815038,13.8673656838,0.0,13.8673656838,0.0,0.0,0.0460441971592
8.0e-05,230.411981557,230.249777908,15.7264543271,0.0,15.7264543271,0.0,0.0,0.0522169805111
9.0e-05,230.384138996,230.203628586,17.5692089786,0.0,17.5692089786,0.0,0.0,0.0583355296589
0.0001,230.353022166,230.15436634,19.395729182,0.0,19.395729182,0.0,0.0,0.0644001751207
0.00011,230.31863151,230.101990491,21.2061311209,0.0,21.2061311209,0.0,0.0,0.0704113026637
0.00012,230.280967517,230.046500419,23.000525653,0.0,23.000525653,0.0,0.0,0.0763692803722
0.00013,230.240030721,229.987895558,24.7790237461,0.0,24.7790237461,0.0,0.0,0.082274476695
0.00014,230.195821704,229.9261754,26.541735146,0.0,26.541735146,0.0,0.0,0.0881272560248
0.00015,230.148341096,229.861339491,28.2887687169,0.0,28.2887687169,0.0,0.0,0.0939279798259
0.00016,230.09758957,229.793387434,30.0202323677,0.0,30.0202323677,0.0,0.0,0.0996770063916
0.00017,230.043567848,229.722318888,31.7362330811,0.0,31.7362330811,0.0,0.0,0.105374690939
0.00018,229.986276698,229.648133566,33.4368769171,0.0,33.4368769171,0.0,0.0,0.111021385623
0.00019,229.925716934,229.570831238,35.1222690221,0.0,35.1222690221,0.0,0.0,0.116617439563
0.0002,229.861889416,229.490411729,36.7925136377,0.0,36.7925136377,0.0,0.0,0.122163198876
0.00021,229.794795052,229.40687492,38.4477141083,0.0,38.4477141083,0.0,0.0,0.127659006699
0.00022,229.724434796,229.320220746,40.08797289,0.0,40.08797289,0.0,0.0,0.133105203219
0.00023,229.650809646,229.230449198,41.7133915579,0.0,41.7133915579,0.0,0.0,0.1385021257
0.00024,229.573920651,229.137560321,43.3240708147,0.0,43.3240708147,0.0,0.0,0.143850108507
0.00025,229.493768901,229.041554218,44.9201104986,0.0,44.9201104986,0.0,0.0,0.149149483137
0.00026,229.410355538,228.942431043,46.5016095911,0.0,46.5016095911,0.0,0.0,0.154400578239
0.00027,229.323681745,228.840191007,48.0686662247,0.0,48.0686662247,0.0,0.0,0.159603719646
0.00028,229.233748756,228.734834375,49.621377691,0.0,49.621377691,0.0,0.0,0.164759230398
0.00029,229.140557847,228.626361467,51.1598404479,0.0,51.1598404479,0.0,0.0,0.169867430767
0.0003,229.044110344,228.514772658,52.684150128,0.0,52.684150128,0.0,0.0,0.174928638284
0.00031,228.944407617,228.400068376,54.1944015452,0.0,54.1944015452,0.0,0.0,0.179943167763
0.00032,228.841451083,228.282249103,55.690688703,0.0,55.690688703,0.0,0.0,0.184911331325
0.00033,228.735242205,228.161315379,57.1731048016,0.0,57.1731048016,0.0,0.0,0.189833438427
0.00034,228.625782494,228.03726847,58.6575459132,0.0,58.6575459132,0.00194697379942,0.0,0.194677962787
0.00035,228.513073504,227.910111884,60.1792533518,0.0,60.1792533518,0.00872182616251,0.0,0.199437170262
0.00036,228.397116837,227.779850776,61.7404076051,0.0,61.7404076051,0.0188285045485,0.0,0.204183081769
0.00037,228.277914142,227.646489302,63.3144388494,0.0,63.3144388494,0.0306116437456,0.0,0.208899156213
0.00038,228.155467113,227.510029662,64.8811580757,0.0,64.8811580757,0.042459064573,0.0,0.213588168886
0.00039,228.029777489,227.370472814,66.4307722513,0.0,66.4307722513,0.0541619719534,0.0,0.218226644803
0.0004,227.900847057,227.227819398,67.9645600394,0.0,67.9645600394,0.0657728288218,0.0,0.222816557833
0.00041,227.76867765,227.082070163,69.4826726923,0.0,69.4826726923,0.0772795738308,0.0,0.227358932455
0.00042,227.633271146,226.933225909,70.985141395,0.0,70.985141395,0.0886860718669,0.0,0.231853704859
0.00043,227.494629469,226.781287493,72.4721236903,0.0,72.4721236903,0.0999922472337,0.0,0.236301401417
0.00044,227.35275459,226.626255827,73.9437203585,0.0,73.9437203585,0.111198989741,0.0,0.240702318222
0.00045,227.207648525,226.468131878,75.4000508475,0.0,75.4000508475,0.122306943239,0.0,0.245056824001
0.00046,227.059313336,226.306916671,76.8412272018,0.0,76.8412272018,0.13331680485,0.0,0.249365260591
0.00047,226.907751132,226.142611284,78.2673623547,0.0,78.2673623547,0.144229251143,0.0,0.253627973673
0.00048,226.752964067,225.975216851,79.6785676387,0.0,79.6785676387,0.155044956435,0.0,0.257845303708
0.00049,226.59495434,225.804734563,81.0749535252,0.0,81.0749535252,0.165764588334,0.0,0.262017588589
0.0005,226.433724197,225.631165663,82.4566294261,0.0,82.4566294261,0.176388808907,0.0,0.26614516293
0.00051,226.269275929,225.454511453,83.8237037624,0.0,83.8237037624,0.186918274458,0.0,0.270228358306
0.00052,226.101611875,225.274773286,85.1762839577,0.0,85.1762839577,0.197353635647,0.0,0.274267503225
0.00053,225.930734416,225.091952571,86.5144764524,0.0,86.5144764524,0.207695537526,0.0,0.278262923172
0.00054,225.756645981,224.906050773,87.8383867116,0.0,87.8383867116,0.217944619591,0.0,0.282214940634
0.00055,225.579349045,224.71706941,89.1481192356,0.0,89.1481192356,0.228101515836,0.0,0.286123875134
0.00056,225.398846126,224.525010055,90.4437775688,0.0,90.4437775688,0.2381668548,0.0,0.289990043256
0.00057,225.215139791,224.329874336,91.7254643094,0.0,91.7254643094,0.24814125962,0.0,0.293813758679
0.00058,225.028232651,224.131663933,92.993281118,0.0,92.993281118,0.258025348074,0.0,0.297595332197
0.00059,224.838127361,223.930380582,94.2473287274,0.0,94.2473287274,0.267819732639,0.0,0.301335071756
0.0006,224.644826624,223.726026071,95.4877069516,0.0,95.4877069516,0.277525020532,0.0,0.305033282477
0.00061,224.448333186,223.518602245,96.7145146943,0.0,96.7145146943,0.28714181376,0.0,0.308690266685
0.00062,224.248649841,223.308110999,97.9278499582,0.0,97.9278499582,0.296670709171,0.0,0.312306323938
0.00063,224.045779426,223.094554284,99.1278098538,0.0,99.1278098538,0.306112298496,0.0,0.315881751051
0.00064,223.839724825,222.877934103,100.314490608,0.0,100.314490608,0.3154671684,0.0,0.319416842126
0.00065,223.630488966,222.658252514,101.487987573,0.0,101.487987573,0.324735900525,0.0,0.322911888577
0.00066,223.418074822,222.435511625,102.648395235,0.0,102.648395235,0.333919071539,0.0,0.326367179158
0.00067,223.202485414,222.209713601,103.795807221,0.0,103.795807221,0.343017253181,0.0,0.329782999987
0.00068,222.983723803,221.980855711,104.81489922,0.0,104.81489922,0.352012370291,0.0,0.333392117499
0.00069,222.761793101,221.748910546,105.244082274,0.0,105.244082274,0.360870099458,0.0,0.337666398557
0.0007,222.53669646,221.51381079,104.612605223,0.0,104.612605223,0.369633482324,0.0,0.342185963689
0.00071,222.30843708,221.275476214,103.088769202,0.0,103.088769202,0.378370918933,0.0,0.346143887161
0.00072,222.077018206,221.033855018,101.166390727,0.0,101.166390727,0.387059144028,0.0,0.349742221225
0.00073,221.842443125,220.788930957,99.1801980369,0.0,99.1801980369,0.395682079445,0.0,0.353121949425
0.00074,221.604715172,220.540707291,97.2494534784,0.0,97.2494534784,0.404213030029,0.0,0.356579556161
0.00075,221.363837726,220.289191748,95.3581998661,0.0,95.3581998661,0.412655095342,0.0,0.360087570853
0.00076,221.119814209,220.034391407,93.5061530704,0.0,93.5061530704,0.421009416116,0.0,0.363639449327
