Domain, voltage, current, inductance
0.0,10.0,5.55111512313e-17,0.02
0.0001,9.46155744048,0.0538442559523,0.02
0.0002,9.05950645684,0.0940493543164,0.02
0.0003,8.61757931691,0.138242068309,0.0004444
0.0004,0.920371956066,0.907962804393,0.0004444
0.0005,-0.0541853837636,1.00541853838,0.0004444
0.0006,0.00319007526713,0.999680992473,0.0004444
0.0007,-0.000187810429734,1.00001878104,0.0004444
0.0008,1.10570298704e-05,0.999998894297,0.0004444
0.0009,-6.50964431692e-07,1.0000000651,0.0004444
0.001,3.83244600499e-08,0.999999996168,0.0004444
0.0011,-2.25629026573e-09,1.00000000023,0.0004444
0.0012,1.3283596445e-10,0.999999999987,0.0004444
0.0013,-7.82129916388e-12,1.0,0.0004444
0.0014,4.60076421405e-13,1.0,0.0004444
0.0015,-2.6645352591e-14,1.0,0.0004444
0.0016,2.6645352591e-15,1.0,0.0004444
0.0017,8.881784197e-16,1.0,0.0004444
0.0018,8.881784197e-16,1.0,0.0004444
0.0019,8.881784197e-16,1.0,0.0004444
0.002,8.881784197e-16,1.0,0.0004444
0.0021,8.881784197e-16,1.0,0.0004444
0.0022,8.881784197e-16,1.0,0.0004444
0.0023,8.881784197e-16,1.0,0.0004444
0.0024,8.881784197e-16,1.0,0.0004444
0.0025,8.881784197e-16,1.0,0.0004444
0.0026,8.881784197e-16,1.0,0.0004444
0.0027,8.881784197e-16,1.0,0.0004444
0.0028,8.881784197e-16,1.0,0.0004444
0.0029,8.881784197e-16,1.0,0.0004444
0.003,8.881784197e-16,1.0,0.0004444
0.0031,8.881784197e-16,1.0,0.0004444
0.0032,8.881784197e-16,1.0,0.0004444
0.0033,8.881784197e-16,1.0,0.0004444
0.0034,8.881784197e-16,1.0,0.0004444
0.0035,8.881784197e-16,1.0,0.0004444
0.0036,8.881784197e-16,1.0,0.0004444
0.0037,8.881784197e-16,1.0,0.0004444
0.0038,8.881784197e-16,1.0,0.0004444
0.0039,8.881784197e-16,1.0,0.0004444
0.004,8.881784197e-16,1.0,0.0004444
0.0041,8.881784197e-16,1.0,0.0004444
0.0042,8.881784197e-16,1.0,0.0004444
0.0043,8.881784197e-16,1.0,0.0004444
0.0044,8.881784197e-16,1.0,0.0004444
0.0045,8.881784197e-16,1.0,0.0004444
0.0046,8.881784197e-16,1.0,0.0004444
0.0047,8.881784197e-16,1.0,0.0004444
0.0048,8.881784197e-16,1.0,0.0004444
0.0049,8.881784197e-16,1.0,0.0004444
0.005,8.881784197e-16,1.0,0.0004444
0.0051,8.881784197e-16,1.0,0.0004444
0.0052,8.881784197e-16,1.0,0.0004444
0.0053,8.881784197e-16,1.0,0.0004444
0.0054,8.881784197e-16,1.0,0.0004444
0.0055,8.881784197e-16,1.0,0.0004444
0.0056,8.881784197e-16,1.0,0.0004444
0.0057,8.881784197e-16,1.0,0.0004444
0.0058,8.881784197e-16,1.0,0.0004444
0.0059,8.881784197e-16,1.0,0.0004444
0.006,8.881784197e-16,1.0,0.0004444
0.0061,8.881784197e-16,1.0,0.0004444
0.0062,8.881784197e-16,1.0,0.0004444
0.0063,8.881784197e-16,1.0,0.0004444
0.0064,8.881784197e-16,1.0,0.0004444
0.0065,8.881784197e-16,1.0,0.0004444
0.0066,8.881784197e-16,1.0,0.0004444
0.0067,8.881784197e-16,1.0,0.0004444
0.0068,8.881784197e-16,1.0,0.0004444
0.0069,8.881784197e-16,1.0,0.0004444
0.007,8.881784197e-16,1.0,0.0004444
0.0071,8.881784197e-16,1.0,0.0004444
0.0072,8.881784197e-16,1.0,0.0004444
0.0073,8.881784197e-16,1.0,0.0004444
0.0074,8.881784197e-16,1.0,0.0004444
0.0075,8.881784197e-16,1.0,0.0004444
0.0076,8.881784197e-16,1.0,0.0004444
0.0077,8.881784197e-16,1.0,0.0004444
0.0078,8.881784197e-16,1.0,0.0004444
0.0079,8.881784197e-16,1.0,0.0004444
0.008,8.881784197e-16,1.0,0.0004444
0.0081,8.881784197e-16,1.0,0.0004444
0.0082,8.881784197e-16,1.0,0.0004444
0.0083,8.881784197e-16,1.0,0.0004444
0.0084,8.881784197e-16,1.0,0.0004444
0.0085,8.881784197e-16,1.0,0.0004444
0.0086,8.881784197e-16,1.0,0.0004444
0.0087,8.881784197e-16,1.0,0.0004444
0.0088,8.881784197e-16,1.0,0.0004444
0.0089,8.881784197e-16,1.0,0.0004444
0.009,8.881784197e-16,1.0,0.0004444
0.0091,8.881784197e-16,1.0,0.0004444
0.0092,8.881784197e-16,1.0,0.0004444
0.0093,8.881784197e-16,1.0,0.0004444
0.0094,8.881784197e-16,1.0,0.0004444
0.0095,8.881784197e-16,1.0,0.0004444
0.0096,8.881784197e-16,1.0,0.0004444
0.0097,8.881784197e-16,1.0,0.0004444
0.0098,8.881784197e-16,1.0,0.0004444
0.0099,8.881784197e-16,1.0,0.0004444
